 4.0725,-0.1539, 0.0332, 0.1652, 0.2353, 0.1596,-0.1388, 0.5880, 0.2198,-0.3578,-0.4847, 0.0571, 0.1096,-0.3299,-0.1502,-0.4910,-0.2857, 0.0755,-0.0481,-0.2829
-0.1539, 3.5353,-0.5919,-0.6817,-0.2601,-0.2036, 0.3052, 0.1250, 0.0848,-0.3575, 0.4485,-0.1399, 0.2894,-0.0522,-0.3229,-0.2689, 0.1619,-0.4404, 0.1693, 0.2334
 0.0332,-0.5919, 3.2609,-0.1247, 0.1612,-0.6427, 0.0134, 0.3094,-0.1137,-0.0115,-0.3714,-0.1222,-0.3906, 0.4481, 0.0732,-0.3616, 0.6476, 0.4047, 0.0893,-0.0527
 0.1652,-0.6817,-0.1247, 2.9444, 0.1242,-0.3360,-0.6480, 0.3077, 0.0833,-0.0208,-0.4925, 0.1455, 0.4288, 0.3362,-0.0401,-0.0394,-0.1170, 0.3332,-0.3531, 0.2111
 0.2353,-0.2601, 0.1612, 0.1242, 3.3762,-0.0595,-0.1260,-0.0567, 0.1591,-0.0279, 0.5755,-0.0987, 0.4172,-0.2575, 0.1694,-0.4522, 0.1055, 0.3263,-0.3017,-0.1270
 0.1596,-0.2036,-0.6427,-0.3360,-0.0595, 3.5143, 0.4207,-0.2232,-0.0949,-0.1625, 0.4387, 0.2757,-0.0726, 0.2474, 0.2031, 0.1348, 0.2724, 0.2597, 0.2009, 0.2445
-0.1388, 0.3052, 0.0134,-0.6480,-0.1260, 0.4207, 2.2772, 0.0576, 0.0076, 0.4638, 0.1239,-0.0108,-0.2838, 0.0365, 0.5344, 0.0872, 0.0320, 0.3284,-0.0065, 0.2928
 0.5880, 0.1250, 0.3094, 0.3077,-0.0567,-0.2232, 0.0576, 3.4846, 0.1041,-0.4716, 0.3202,-0.1249, 0.5321, 0.5250,-0.4626,-0.2430,-0.4210, 0.0139,-0.4112,-0.0318
 0.2198, 0.0848,-0.1137, 0.0833, 0.1591,-0.0949, 0.0076, 0.1041, 3.0132,-0.0386, 0.3058,-0.4619,-0.1938, 0.2718, 0.0046, 0.4817, 0.5153, 0.4077,-0.1598,-0.3643
-0.3578,-0.3575,-0.0115,-0.0208,-0.0279,-0.1625, 0.4638,-0.4716,-0.0386, 3.4385,-0.2455, 0.3471,-0.3673, 0.0585,-0.1576,-0.1004,-0.4159, 0.2556, 0.5582, 0.1758
-0.4847, 0.4485,-0.3714,-0.4925, 0.5755, 0.4387, 0.1239, 0.3202, 0.3058,-0.2455, 3.6299,-0.8528,-0.0374, 0.0906,-0.0250, 0.1833,-0.6753,-0.4742, 0.2607, 0.2512
 0.0571,-0.1399,-0.1222, 0.1455,-0.0987, 0.2757,-0.0108,-0.1249,-0.4619, 0.3471,-0.8528, 2.8382, 0.0377, 0.6907,-0.0146, 0.0988, 0.2483, 0.1024,-0.1920,-0.2185
 0.1096, 0.2894,-0.3906, 0.4288, 0.4172,-0.0726,-0.2838, 0.5321,-0.1938,-0.3673,-0.0374, 0.0377, 3.6027,-0.4290,-0.4796, 0.7590,-0.2583, 0.1765,-0.3841,-0.0797
-0.3299,-0.0522, 0.4481, 0.3362,-0.2575, 0.2474, 0.0365, 0.5250, 0.2718, 0.0585, 0.0906, 0.6907,-0.4290, 3.3298, 0.1838,-0.2804, 0.2678, 0.3233, 0.2538, 0.1413
-0.1502,-0.3229, 0.0732,-0.0401, 0.1694, 0.2031, 0.5344,-0.4626, 0.0046,-0.1576,-0.0250,-0.0146,-0.4796, 0.1838, 3.5681,-0.4397, 0.0968,-0.3476, 0.1117, 0.4051
-0.4910,-0.2689,-0.3616,-0.0394,-0.4522, 0.1348, 0.0872,-0.2430, 0.4817,-0.1004, 0.1833, 0.0988, 0.7590,-0.2804,-0.4397, 2.8024, 0.0987,-0.3487,-0.4105,-0.4234
-0.2857, 0.1619, 0.6476,-0.1170, 0.1055, 0.2724, 0.0320,-0.4210, 0.5153,-0.4159,-0.6753, 0.2483,-0.2583, 0.2678, 0.0968, 0.0987, 3.3055,-0.2106,-0.0742,-0.2813
 0.0755,-0.4404, 0.4047, 0.3332, 0.3263, 0.2597, 0.3284, 0.0139, 0.4077, 0.2556,-0.4742, 0.1024, 0.1765, 0.3233,-0.3476,-0.3487,-0.2106, 3.3732, 0.0708,-0.2237
-0.0481, 0.1693, 0.0893,-0.3531,-0.3017, 0.2009,-0.0065,-0.4112,-0.1598, 0.5582, 0.2607,-0.1920,-0.3841, 0.2538, 0.1117,-0.4105,-0.0742, 0.0708, 3.2898,-0.4983
-0.2829, 0.2334,-0.0527, 0.2111,-0.1270, 0.2445, 0.2928,-0.0318,-0.3643, 0.1758, 0.2512,-0.2185,-0.0797, 0.1413, 0.4051,-0.4234,-0.2813,-0.2237,-0.4983, 3.1124
