 3.5267, 0.1353,-0.0892, 0.2558, 0.0623, 0.4081,-0.0463,-0.1167, 0.0632, 0.0337, 0.1134, 0.0498,-0.1643, 0.0886, 0.1305, 0.0349,-0.2287, 0.0075,-0.3431,-0.0303, 0.3870,-0.1303, 0.0297,-0.1454,-0.4569,-0.0793,-0.1248, 0.1776, 0.3208, 0.1974, 0.0323,-0.0922,-0.0720,-0.1312, 0.0552,-0.2426,-0.1261,-0.1334, 0.0714,-0.0466,-0.0447, 0.1431, 0.1078,-0.2015, 0.2438, 0.0607, 0.1547, 0.1652,-0.2548,-0.0082
 0.1353, 3.8454,-0.0850, 0.2779, 0.1609, 0.3342,-0.0271,-0.0862, 0.1815, 0.3124, 0.4563, 0.2047,-0.0672,-0.0415, 0.0091,-0.2828, 0.0570,-0.0842, 0.1733, 0.3974, 0.0143,-0.3419, 0.1577,-0.2882, 0.0813, 0.0883, 0.3057,-0.5865, 0.1531,-0.3162,-0.0361,-0.1621, 0.0387,-0.0357,-0.0073, 0.0772, 0.2121, 0.2255, 0.0712,-0.0289,-0.0261,-0.0295, 0.0759,-0.0185,-0.0241, 0.4192, 0.2914,-0.2670,-0.0201, 0.0827
-0.0892,-0.0850, 3.6712, 0.1148,-0.1199,-0.0215,-0.1592, 0.1087,-0.4022, 0.3642,-0.1469, 0.2023, 0.2699,-0.1612,-0.0789, 0.0994, 0.1562,-0.2694, 0.0684,-0.2633,-0.0515, 0.1135, 0.1743, 0.0234,-0.3630,-0.0161, 0.0615,-0.0006, 0.0501,-0.2721, 0.0825,-0.3987,-0.0493,-0.2489,-0.1150, 0.0200,-0.2313, 0.1343,-0.1520,-0.0612,-0.0684,-0.1790,-0.1105,-0.3342,-0.0304, 0.2201, 0.1740,-0.1679, 0.2963,-0.2293
 0.2558, 0.2779, 0.1148, 4.1833, 0.0849, 0.0725, 0.0057,-0.0977, 0.2038,-0.2236,-0.4260, 0.3071, 0.0778,-0.2510, 0.5602,-0.2486, 0.1458,-0.0321,-0.1435,-0.4103, 0.2314, 0.1249, 0.0466, 0.3405,-0.2756, 0.3423,-0.0122, 0.0674, 0.0154, 0.1119, 0.2899, 0.0412,-0.0391, 0.0146,-0.0060,-0.1464, 0.2331, 0.0770, 0.0767, 0.1412, 0.2877, 0.1553,-0.0976, 0.3033, 0.0183, 0.1849, 0.1227, 0.0981, 0.0774,-0.1297
 0.0623, 0.1609,-0.1199, 0.0849, 3.3785,-0.1900, 0.1589,-0.3711, 0.0729, 0.0257,-0.1392, 0.2247, 0.0854, 0.1554, 0.1376,-0.0308, 0.1297, 0.0092,-0.0635, 0.1706,-0.4104,-0.2533,-0.5327, 0.0663,-0.0332, 0.2785,-0.0767, 0.2011, 0.1073, 0.0357, 0.0830,-0.0400, 0.1941,-0.3820, 0.1860,-0.1149, 0.1596,-0.0273, 0.0281,-0.0061, 0.1418,-0.0816, 0.0693,-0.2426, 0.1526,-0.0122,-0.2359,-0.1503, 0.1593,-0.0378
 0.4081, 0.3342,-0.0215, 0.0725,-0.1900, 3.3713,-0.1174,-0.0110, 0.1339, 0.3477,-0.2723, 0.2953,-0.1161,-0.0198,-0.2945,-0.0473, 0.0945, 0.0170, 0.0617,-0.2483,-0.1205,-0.0933, 0.0492,-0.0658, 0.1358,-0.3904, 0.1276,-0.0200,-0.1034,-0.0471,-0.0763,-0.2556, 0.0376,-0.0420, 0.0765,-0.0684, 0.0121,-0.0172,-0.1607,-0.2741, 0.4238,-0.1888,-0.1250, 0.0529, 0.2409, 0.2812,-0.0407, 0.0052, 0.0221,-0.1284
-0.0463,-0.0271,-0.1592, 0.0057, 0.1589,-0.1174, 4.2283, 0.0690, 0.0058, 0.2098, 0.2253, 0.1591, 0.0861, 0.4095,-0.4790, 0.0504,-0.0113,-0.0618,-0.0998, 0.4739,-0.0338,-0.0982,-0.2745,-0.0272,-0.0163, 0.0409, 0.1624, 0.1660,-0.0946,-0.0122, 0.3408,-0.1770, 0.1511,-0.1188, 0.0346,-0.1042,-0.0832,-0.0379, 0.0855,-0.1186, 0.0704,-0.0619,-0.1293, 0.2999, 0.3359, 0.0888, 0.0125,-0.1148,-0.2260,-0.3251
-0.1167,-0.0862, 0.1087,-0.0977,-0.3711,-0.0110, 0.0690, 3.6705, 0.0076, 0.1089, 0.1767, 0.0454, 0.0143,-0.0080, 0.0187, 0.0925, 0.2812, 0.2055,-0.1140,-0.2592,-0.1877,-0.0326, 0.0327,-0.2101, 0.0410,-0.4880, 0.2062,-0.2531, 0.1168,-0.1370,-0.0568, 0.2942, 0.2809,-0.1295, 0.2140,-0.2965,-0.0739, 0.1468, 0.0196,-0.2570, 0.1195, 0.3617, 0.0182, 0.0309,-0.3132, 0.0831,-0.1573, 0.1630,-0.0856,-0.3759
 0.0632, 0.1815,-0.4022, 0.2038, 0.0729, 0.1339, 0.0058, 0.0076, 3.8225,-0.0628,-0.1603, 0.2363,-0.1033,-0.1763,-0.1504,-0.1575, 0.0359,-0.2062,-0.4211, 0.1946, 0.2439,-0.0167,-0.1450,-0.0028, 0.3785,-0.0834, 0.2039,-0.1295, 0.2980, 0.2629, 0.1359,-0.3838,-0.0930,-0.3111, 0.0183, 0.0604,-0.1386, 0.0948,-0.2522,-0.5182, 0.1142,-0.2596, 0.2585,-0.1825, 0.0756,-0.0910,-0.0185, 0.0900,-0.2333,-0.0636
 0.0337, 0.3124, 0.3642,-0.2236, 0.0257, 0.3477, 0.2098, 0.1089,-0.0628, 4.2734,-0.0159, 0.0539, 0.0085,-0.0217,-0.0388, 0.1318,-0.3497, 0.0036,-0.0586,-0.0764, 0.1265, 0.0802,-0.1045, 0.0510, 0.3244,-0.2990, 0.3399,-0.0652, 0.2066, 0.1453,-0.3453,-0.1256,-0.2781,-0.1797,-0.2872, 0.4098,-0.1255, 0.2515,-0.0033,-0.1075, 0.0766, 0.0161,-0.0424, 0.2025, 0.1438,-0.4029, 0.1729, 0.1150, 0.2336, 0.0727
