-4.3510, 3.0310,-4.3245,-4.5440, 2.0728,-4.3512, 0.1017, 4.8043,-1.6143, 4.2018,-4.4398, 0.6905, 3.9133,-0.8522, 3.8886, 2.2025,-1.3256, 1.5447, 3.4620,-0.7928,-0.6929, 0.3522,-0.1236, 0.4123, 0.1015, 2.6693,-4.9059,-0.2475, 0.7933,-1.2086, 1.9543, 2.6302,-1.1718,-2.1725,-4.6590,-1.3390,-0.2389, 3.5843,-3.5352,-1.7953
-0.0668, 0.7296, 2.1934,-4.3569,-1.7623, 3.7138, 0.8016, 3.6710,-3.4198, 2.3732, 1.1269, 3.8587, 2.5682,-0.7073,-1.7847, 1.9167,-3.9636, 0.4227,-0.6608, 4.9023, 4.8159,-2.0439, 1.3067, 4.9878, 4.6508,-2.0599,-3.4003, 2.4624, 1.2602,-2.8017,-4.8270,-0.9843,-4.5784, 2.1986, 4.3692,-0.8155, 1.3423,-1.3831,-3.3590, 3.8365
 1.2647, 4.9201, 1.2310, 0.2379, 1.7431,-3.4466,-1.1383, 4.0247,-4.7201, 0.8634, 3.1604, 3.4458,-2.9465, 2.2943,-2.6998,-1.5083,-4.3033, 2.4661, 3.1897,-4.3178,-4.6497,-1.2588,-3.2611,-4.6843,-4.9061, 3.9458, 0.1168,-4.1099,-0.2056, 3.7239, 3.1124,-0.0866,-2.7044, 1.2200, 4.6785,-1.0186, 1.1912, 3.2625,-3.1339,-1.1908
 4.8883, 4.7101, 1.2984, 0.0595,-1.3540,-1.7455, 2.9661,-4.9870,-0.5492,-2.8518,-4.3742, 1.2614, 1.3735, 1.2979,-4.3909, 1.3873, 3.2210, 2.9678,-4.0308, 4.9181, 0.8483, 4.1010,-4.1648, 1.6055,-4.3514, 4.1503,-4.0463, 0.2567,-1.1630, 3.4979, 2.4433,-2.8336,-2.8420, 3.1230, 3.7029, 4.2617,-0.4031,-1.7421, 1.8078,-4.2888
 1.8459, 0.1705, 1.0137,-3.9705,-1.8300, 3.5694,-1.9019,-0.6943,-2.3741,-4.6970,-1.6457,-4.5208,-3.3645,-4.8371,-3.7390,-1.0028, 3.0070, 2.3689,-1.3035, 4.2826, 3.6557, 4.3059,-2.3541,-0.7133, 0.4240,-3.7355, 4.1448,-1.7079, 1.9614,-4.5316, 0.5635,-4.2534,-0.2009,-4.8225,-3.2875, 2.0621, 1.5028, 3.0773, 0.5695, 0.2777
-0.7786,-4.4933,-0.3476, 0.5408, 1.3539, 0.7049, 4.5364, 2.1508,-2.4509, 2.1538, 2.0422,-2.1818, 0.2414, 2.3217,-2.5503, 4.0171, 4.5443, 3.3610, 2.1143,-2.1087,-4.7961,-0.4284, 0.1898,-2.4276, 1.7775,-1.9729, 0.3094, 0.4797,-2.0450,-3.0083,-1.9864,-1.5295, 3.7642, 1.2830, 2.5654,-1.9050, 4.9518,-3.5887,-1.1883, 4.6056
-4.2323, 3.0532, 4.5684,-4.1577,-4.2493,-1.3209,-3.5666,-3.8333, 4.5305,-1.8752,-2.8055,-3.0943,-4.4425, 0.5704, 2.1926, 2.5452, 4.4277,-2.4671,-1.5510, 2.3786,-4.6400,-4.5882, 1.2433,-2.1129, 0.6799,-2.1327, 0.9517,-2.7604,-1.6735, 0.7910,-1.2977, 4.0048,-4.8578,-1.6946,-3.7139, 0.4566,-4.4773, 0.0673, 1.4749,-1.1259
-3.7972,-0.0449, 2.8867,-4.7610, 3.2629,-4.8991,-0.5783,-0.5415,-1.7122,-2.2233,-4.9290, 2.1132, 1.1161, 2.6990, 0.0230,-0.2782, 2.1051, 1.3170, 1.6149,-3.0612, 3.5759,-3.2015, 4.0197, 3.4450, 2.6523,-4.2626,-4.8150,-4.6574,-1.8217, 2.9489,-0.0246, 2.9286, 1.4114,-3.0766,-1.0523,-2.4601,-3.9548, 1.5656,-3.9004, 2.3436
-0.3121,-1.8498,-0.2927,-2.3722,-0.8157, 0.2658,-0.0253, 1.6960,-1.2888, 4.0796, 4.0917, 4.5535,-2.7699, 0.5689, 0.5613,-0.2184,-4.8677,-1.7365, 0.5976,-0.5207,-2.8594,-0.7028,-3.6634, 2.0780, 4.0355,-2.4443, 0.1410, 2.9558, 4.1754,-4.3194, 3.3055,-1.6175, 4.4323,-3.9396, 4.8702, 2.7614,-2.5281, 1.3471,-2.7552,-3.3554
-3.3875, 0.5239,-2.2952,-0.9874,-1.3929, 3.9375,-4.4693,-2.8712, 3.0228, 2.7617, 2.1952,-3.2383,-0.9529,-2.5355, 1.5384, 4.4477,-4.4222,-4.9196, 0.3344, 4.2617, 1.8472, 3.3948, 3.4953,-0.2280,-1.3486,-3.5426,-3.9089,-1.4914, 0.5204, 0.9523, 4.3977, 2.6714,-1.2484,-2.6259,-1.8007,-0.6952, 1.6740, 2.4857,-3.1031,-1.3929
-1.4066, 2.9245,-2.3278,-3.9993,-1.9667, 2.4926, 3.0301, 4.7899, 1.5840,-4.6457, 4.7800,-1.2693,-3.8889,-3.4337, 0.7831, 4.9721, 4.8574,-2.0079,-3.5990, 1.1540, 0.0644,-3.9235,-4.8172, 4.4181, 1.0220,-1.6137,-2.3759, 2.4216, 2.8870,-2.9404,-0.5995, 3.0483,-3.9344,-1.5691, 0.9787, 2.5073, 2.5851, 0.9503, 0.4456, 2.1785
-1.1432, 0.9133,-3.0336,-2.9116,-4.6803, 4.8476, 2.5664,-4.8803, 3.0331,-4.3437,-4.6611,-2.7873,-2.4656, 1.3167, 0.6016, 1.0415, 0.8747,-4.7594, 1.7099, 0.7889, 4.2904,-0.5290,-1.4212, 1.0631,-1.0771, 1.9606,-2.1637,-2.3984, 0.4763, 1.8959,-2.5204,-0.7985, 3.0943,-4.5899,-0.9369,-0.7166, 2.2011,-2.0501, 3.6942, 0.2432
