 2.7831,-0.0354,-0.1267, 0.1610,-0.2246, 0.2987,-0.0217, 0.7025,-0.4628,-0.1351,-0.1905,-0.1207,-0.1277,-0.1388, 0.3413,-0.0987, 0.1307,-0.1359, 0.1862, 0.0900, 0.0415, 0.1017,-0.1218,-0.0720, 0.3349,-0.0046, 0.1767, 0.2560,-0.2226,-0.0382
-0.0354, 2.9547,-0.0577,-0.1357,-0.0329,-0.3250,-0.1449, 0.3285,-0.0324,-0.3570, 0.0145,-0.1052, 0.2534, 0.4814,-0.1665, 0.1277,-0.1312, 0.3248,-0.0536,-0.1421, 0.3948, 0.1937,-0.1178, 0.1686,-0.0230,-0.5591, 0.0625,-0.0453, 0.0235, 0.0788
-0.1267,-0.0577, 3.1613, 0.2014,-0.2946, 0.1210,-0.0676,-0.3508, 0.0204, 0.0189,-0.1263,-0.2062, 0.2710, 0.7263, 0.2546, 0.1832, 0.2453, 0.0922,-0.1166,-0.4921,-0.2728, 0.1196, 0.1076,-0.0880,-0.1588,-0.0783, 0.0920,-0.2119,-0.1270,-0.1734
 0.1610,-0.1357, 0.2014, 3.0669, 0.4530,-0.0007, 0.1437,-0.6055, 0.4159,-0.0208, 0.0492, 0.2362,-0.3760, 0.0068, 0.2457, 0.0224,-0.1028,-0.0622, 0.1748,-0.1799, 0.2515, 0.1048,-0.2020,-0.1434, 0.3382, 0.3203,-0.3528, 0.1964,-0.2480,-0.0716
-0.2246,-0.0329,-0.2946, 0.4530, 3.1056, 0.4148, 0.2059,-0.0071, 0.1933, 0.4068, 0.0358,-0.3307,-0.2765,-0.2527, 0.0145,-0.0762,-0.1787, 0.0397,-0.2755, 0.0389,-0.0768,-0.0354,-0.1157, 0.1275, 0.2046,-0.0128, 0.2789, 0.1238, 0.1003, 0.1017
 0.2987,-0.3250, 0.1210,-0.0007, 0.4148, 2.9523, 0.3065,-0.0455, 0.1959, 0.2803, 0.2218,-0.0149,-0.0362, 0.0254, 0.2948, 0.2794,-0.1808,-0.0705, 0.0149,-0.2851, 0.0362, 0.1195, 0.0684, 0.2476,-0.3458,-0.4944,-0.1864, 0.3907,-0.1737, 0.1105
-0.0217,-0.1449,-0.0676, 0.1437, 0.2059, 0.3065, 3.6437, 0.2741,-0.1441,-0.0669, 0.3097,-0.1818, 0.2750, 0.1033,-0.5489, 0.1882, 0.4640,-0.0659,-0.2900,-0.1975,-0.0350, 0.1142, 0.1294, 0.1426,-0.0951,-0.1406, 0.1704, 0.2286,-0.1675, 0.0573
 0.7025, 0.3285,-0.3508,-0.6055,-0.0071,-0.0455, 0.2741, 3.7687,-0.1884, 0.0100, 0.0552,-0.2313,-0.1924, 0.2575, 0.0034, 0.2993, 0.1881,-0.2455, 0.3723,-0.2394,-0.4201,-0.4246,-0.1956,-0.0931, 0.0926,-0.0179,-0.0232, 0.0347, 0.2145,-0.1062
-0.4628,-0.0324, 0.0204, 0.4159, 0.1933, 0.1959,-0.1441,-0.1884, 3.2968,-0.1758,-0.1119, 0.0004,-0.0972,-0.0078,-0.2809, 0.1724,-0.1556,-0.1343, 0.1956, 0.0272,-0.1147,-0.0385, 0.0817,-0.5662, 0.1996,-0.2505, 0.3553,-0.3596, 0.2421,-0.2347
-0.1351,-0.3570, 0.0189,-0.0208, 0.4068, 0.2803,-0.0669, 0.0100,-0.1758, 3.3398, 0.4450, 0.1403, 0.2479, 0.2639, 0.0127, 0.4343, 0.4250, 0.1239, 0.1024,-0.0618,-0.0581,-0.5009, 0.2600,-0.4741,-0.0485, 0.2997, 0.1208,-0.0297, 0.0610,-0.1431
