 3.4122,-0.3349,-0.4983, 0.6745, 0.1884, 0.1507,-0.2376, 0.3539,-0.0003, 0.4536
-0.3349, 3.1874,-0.1693,-0.3943, 0.0482, 0.4084, 0.3162,-0.0940, 0.0554, 0.1761
-0.4983,-0.1693, 4.0473,-0.5868,-0.1491,-0.3914, 0.4615,-0.7051,-0.0007, 0.1663
 0.6745,-0.3943,-0.5868, 4.3168, 0.4675, 0.1321,-0.0494,-0.3204,-0.4880,-0.3676
 0.1884, 0.0482,-0.1491, 0.4675, 2.9990,-0.4788, 0.2175,-0.4712, 0.2037,-0.1065
 0.1507, 0.4084,-0.3914, 0.1321,-0.4788, 3.9186,-0.9401,-0.4129, 0.8368, 0.2529
-0.2376, 0.3162, 0.4615,-0.0494, 0.2175,-0.9401, 3.2843,-0.2004, 0.0532,-0.7416
 0.3539,-0.0940,-0.7051,-0.3204,-0.4712,-0.4129,-0.2004, 3.5549,-0.4626,-0.0757
-0.0003, 0.0554,-0.0007,-0.4880, 0.2037, 0.8368, 0.0532,-0.4626, 3.9412, 0.6546
 0.4536, 0.1761, 0.1663,-0.3676,-0.1065, 0.2529,-0.7416,-0.0757, 0.6546, 2.7866
